RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51844,12.22,3.85,1.3,72.34,0.61,8.87,0.0,0.21,5
1.51865,13.43,3.45,1.11,73.09,0.59,8.33,0.0,0.08,1
1.51898,12.81,3.53,1.16,72.5,0.63,8.62,0.0,0.19,1
1.51696,12.66,3.27,1.12,72.66,0.53,8.75,0.0,0.19,2
1.51758,12.83,3.46,1.08,73.57,0.53,8.3,0.0,0.18,3
1.51643,13.56,3.45,1.37,73.04,0.5,8.86,0.0,0.2,2
1.5189,13.8,3.66,1.46,72.77,0.53,8.26,0.0,0.24,1
1.52351,14.34,0.92,2.23,72.64,0.31,9.4,0.17,0.26,7
1.51248,12.99,4.03,1.88,72.51,0.57,8.63,0.0,0.23,5
1.51746,12.81,3.53,1.53,72.61,0.51,8.54,0.0,0.11,3
1.51677,13.11,4.29,1.27,72.77,0.6,9.46,0.0,0.09,2
1.51831,13.2,3.18,1.53,72.3,0.61,10.47,0.0,0.28,2
1.52042,12.98,3.63,1.43,73.57,0.59,8.79,0.0,0.17,2
1.52442,14.35,0.33,1.52,71.01,0.0,9.38,0.89,0.0,7
1.51933,12.78,3.59,1.44,72.16,0.54,8.38,0.0,0.17,1
1.51757,12.87,3.71,1.37,73.29,0.61,8.69,0.0,0.14,2
1.51815,13.15,3.7,1.35,73.72,0.62,8.08,0.0,0.19,3
1.51823,12.68,3.52,1.38,71.96,0.74,9.23,0.0,0.15,2
1.51785,13.04,3.55,1.15,71.79,0.74,7.95,0.0,0.0,2
1.51697,12.75,3.74,1.26,73.01,0.62,7.46,0.0,0.35,2
1.51688,12.52,4.23,1.59,72.23,0.8,9.31,0.0,0.0,2
1.51746,13.06,3.56,1.35,73.21,0.8,8.17,0.0,0.14,2
1.51863,12.99,3.51,1.3,72.48,0.51,8.15,0.0,0.17,1
1.51743,13.08,3.51,1.28,73.65,0.49,8.4,0.0,0.1,1
1.51867,12.78,3.75,1.29,72.96,0.62,8.37,0.0,0.07,1
1.51829,13.15,3.0,1.59,72.35,0.46,8.26,0.0,0.24,2
1.51827,12.06,3.47,1.24,72.54,0.66,8.02,0.0,0.15,1
1.51738,13.13,3.58,1.3,73.19,0.58,8.54,0.0,0.38,1
1.52086,13.96,0.5,2.27,72.89,0.15,8.97,0.31,0.0,7
1.51692,12.95,3.66,1.45,73.03,0.78,8.45,0.0,0.0,2
1.51826,13.2,3.23,1.38,73.06,0.58,9.07,0.0,0.22,5
1.51994,13.3,3.7,1.18,72.54,0.49,8.55,0.0,0.13,1
1.51749,13.0,3.63,1.31,72.38,0.6,8.21,0.0,0.2,1
1.51926,12.82,3.66,1.2,73.91,0.49,8.81,0.0,0.2,2
1.51757,12.99,3.5,1.17,72.95,0.54,8.33,0.0,0.12,1
1.52111,14.31,1.44,2.07,71.85,0.14,8.69,1.25,0.18,7
1.51682,13.72,3.42,1.47,72.37,0.48,8.78,0.0,0.17,5
1.52094,12.76,4.23,1.73,72.31,0.65,9.79,0.0,0.13,2
1.51863,13.0,3.48,1.37,72.66,0.58,8.19,0.0,0.17,1
1.51875,12.83,3.35,0.98,72.37,0.38,7.41,0.0,0.24,2
1.51888,14.67,0.0,1.81,73.57,0.0,9.12,0.0,0.0,6
1.51789,13.2,3.6,1.46,72.55,0.69,7.93,0.0,0.19,1
1.51864,13.13,3.4,1.27,72.95,0.7,8.25,0.0,0.14,1
1.51836,13.39,3.53,1.31,72.89,0.58,8.39,0.0,0.33,1
1.52084,13.51,3.43,1.21,73.32,0.54,8.36,0.0,0.06,1
1.52092,12.89,3.48,1.2,72.27,0.55,8.14,0.0,0.17,1
1.51979,13.58,2.77,1.11,72.27,0.6,8.96,0.0,0.17,2
1.51815,12.94,3.55,1.65,72.75,0.6,7.57,0.0,0.22,2
1.51656,13.13,3.54,1.61,72.92,0.6,9.19,0.0,0.21,2
1.51693,13.83,3.55,1.19,73.0,0.57,8.24,0.0,0.21,1
1.51725,12.96,3.4,1.82,72.87,0.64,9.34,0.0,0.12,2
1.52012,13.59,3.47,1.43,72.31,0.56,8.39,0.0,0.29,5
1.51615,13.44,3.44,1.3,73.06,0.64,8.31,0.0,0.03,2
1.51743,13.17,3.59,1.44,73.23,0.69,8.14,0.0,0.16,1
1.51639,12.56,3.6,1.41,72.83,0.46,8.25,0.0,0.06,3
1.5168,12.49,2.89,1.51,71.88,0.76,7.04,0.0,0.17,2
1.51738,13.55,4.04,1.12,72.99,0.66,8.36,0.0,0.13,2
1.52087,13.38,3.39,1.29,72.72,0.62,8.14,0.0,0.19,1
1.51793,12.98,3.6,1.35,73.06,0.69,8.0,0.0,0.0,2
1.51901,12.88,4.09,1.42,73.86,0.54,9.86,0.0,0.08,2
1.52072,13.09,3.62,1.6,73.29,0.71,9.05,0.0,0.33,2
1.51727,12.68,3.67,1.24,72.95,0.51,8.18,0.0,0.04,1
1.51847,13.39,3.41,1.45,71.9,0.68,8.44,0.0,0.27,2
1.51873,12.91,3.67,1.28,73.3,0.58,8.65,0.0,0.12,1
1.51933,13.3,3.5,1.3,73.07,0.58,8.56,0.0,0.21,3
1.51914,12.34,3.39,1.14,71.88,0.7,8.23,0.0,0.14,2
1.51745,12.92,4.15,1.42,73.25,0.47,8.78,0.0,0.16,2
1.5168,13.1,4.28,1.25,73.71,0.66,8.16,0.0,0.26,2
1.51833,12.62,2.64,1.46,74.11,0.6,9.2,0.0,0.14,2
1.51715,12.75,3.64,1.36,73.12,0.61,8.28,0.0,0.15,1
1.51878,14.43,0.87,1.93,72.35,0.0,8.85,0.62,0.21,7
1.51763,13.19,3.54,1.41,73.01,0.6,8.21,0.0,0.1,1
1.51841,12.77,3.58,1.34,73.27,0.63,8.03,0.0,0.19,1
1.51839,13.15,3.77,1.19,72.74,0.47,8.5,0.0,0.07,2
1.51708,12.98,3.72,1.49,72.3,0.6,10.17,0.0,0.2,2
1.5187,13.44,3.6,1.17,72.76,0.62,8.39,0.0,0.15,1
1.51806,12.68,3.52,1.23,72.68,0.57,8.35,0.0,0.16,1
1.52033,14.71,1.95,2.45,72.0,0.15,8.12,0.04,0.38,7
1.51777,13.61,0.0,1.8,74.03,0.0,9.1,0.0,0.0,6
1.51956,13.48,3.48,1.23,73.03,0.63,8.19,0.0,0.04,1
1.51936,12.75,3.52,1.21,72.73,0.67,8.35,0.0,0.22,1
1.51838,12.68,3.58,1.1,72.29,0.63,7.4,0.0,0.15,2
1.519,14.91,0.21,2.31,72.79,0.09,10.36,0.0,0.37,7
1.51814,12.69,3.45,1.28,72.82,0.58,8.34,0.0,0.16,3
1.51859,12.49,3.44,1.29,73.16,0.59,8.26,0.0,0.01,1
1.51867,12.95,3.53,1.21,72.75,0.62,8.34,0.0,0.22,1
1.51967,12.57,2.92,1.43,73.26,0.75,8.24,0.0,0.15,2
1.52005,13.5,3.55,1.23,73.12,0.56,8.61,0.0,0.13,3
1.51884,13.28,3.96,0.77,73.87,0.59,9.4,0.0,0.22,2
1.51966,12.89,3.71,1.4,72.85,0.7,8.25,0.0,0.18,3
1.51774,13.17,3.8,1.17,72.49,0.45,8.88,0.0,0.1,2
1.51845,13.49,3.49,1.23,72.81,0.51,8.33,0.0,0.14,1
1.51881,13.02,3.57,1.52,73.2,0.56,8.5,0.0,0.0,1
1.51625,13.26,3.22,1.37,72.83,0.63,8.89,0.0,0.2,2
1.51839,12.68,3.46,1.46,72.81,0.54,8.41,0.0,0.21,3
1.51824,14.78,0.0,1.88,72.54,0.0,8.86,0.0,0.0,6
1.51893,13.11,3.6,1.45,72.86,0.57,8.56,0.0,0.1,1
1.52158,15.15,0.72,1.89,72.43,0.14,9.73,0.0,0.0,7
1.52003,13.25,3.54,1.17,72.93,0.55,8.25,0.0,0.28,3
1.51556,13.81,3.47,1.29,72.04,0.45,9.19,0.0,0.01,2
1.52047,12.32,2.97,1.11,73.31,0.57,9.37,0.0,0.22,5
1.51862,13.42,3.43,1.41,73.03,0.56,8.39,0.0,0.16,1
1.51632,13.62,3.54,1.42,72.44,0.55,8.28,0.0,0.1,1
1.51874,12.22,3.7,1.64,71.93,0.75,8.89,0.0,0.14,2
1.51895,13.68,3.54,1.32,73.14,0.56,8.32,0.0,0.15,1
1.51636,12.84,4.34,1.34,72.77,0.68,8.95,0.0,0.19,2
1.51895,13.34,3.86,1.34,73.28,0.63,8.4,0.0,0.21,1
1.52389,14.24,1.87,2.49,73.25,0.12,9.47,0.54,0.0,7
1.51959,12.85,3.42,1.5,72.9,0.58,8.52,0.0,0.19,3
1.51671,13.21,3.13,1.47,71.64,0.69,8.93,0.0,0.26,2
1.52008,13.45,3.54,1.27,72.62,0.58,8.23,0.0,0.07,1
1.51869,14.44,2.29,2.71,72.96,0.25,8.04,0.21,0.01,7
1.51949,13.38,3.66,1.15,73.14,0.63,7.96,0.0,0.0,1
1.51805,14.22,3.27,1.27,72.27,0.55,8.11,0.0,0.31,2
1.51934,12.43,3.63,1.77,72.43,0.59,8.48,0.0,0.26,5
1.52055,13.48,3.5,1.16,73.08,0.51,8.61,0.0,0.1,1
1.51884,13.08,3.37,1.21,72.95,0.53,8.41,0.0,0.25,3
1.51878,12.96,3.53,1.2,73.5,0.58,8.09,0.0,0.03,1
1.51634,12.43,3.25,1.37,72.78,0.58,8.84,0.0,0.31,2
1.51871,14.21,3.64,1.25,72.63,0.5,8.32,0.0,0.01,1
1.51839,13.22,4.11,1.41,72.39,0.61,8.98,0.0,0.15,2
1.51892,14.78,2.27,1.97,72.31,0.19,9.97,0.0,0.23,7
1.517,12.1,3.48,1.45,73.43,0.63,8.11,0.0,0.32,5
1.51812,14.7,0.97,1.53,72.2,0.07,9.42,1.42,0.0,7
1.5183,12.46,3.54,1.11,73.14,0.6,8.11,0.0,0.04,1
1.51808,12.35,2.97,1.54,72.74,0.58,8.59,0.0,0.09,2
1.51985,12.96,3.59,1.25,72.86,0.63,8.43,0.0,0.26,1
1.51693,13.44,3.66,1.26,73.24,0.6,8.16,0.0,0.28,1
1.51795,12.2,3.44,1.24,72.05,0.57,9.91,0.0,0.09,2
1.51903,12.89,4.13,1.86,72.43,0.56,9.66,0.0,0.09,2
1.51674,12.84,2.95,1.19,71.84,0.51,9.36,0.0,0.44,2
1.5218,14.65,1.79,2.13,72.26,0.27,10.44,0.48,0.0,7
1.5227,14.59,1.05,2.32,70.29,0.27,8.78,0.0,0.29,7
1.51704,13.16,3.35,1.29,72.46,0.62,8.23,0.0,0.05,2
1.5183,13.69,3.34,1.37,72.96,0.57,8.3,0.0,0.12,1
1.51696,13.55,3.61,1.36,72.65,0.65,8.03,0.0,0.34,1
1.51638,13.14,3.45,1.19,72.94,0.54,8.21,0.0,0.09,1
1.51908,15.05,0.0,2.14,73.18,0.0,9.14,0.0,0.0,6
1.5163,13.2,4.12,1.57,71.71,0.51,9.28,0.0,0.13,2
1.51861,13.26,3.49,1.49,73.08,0.52,8.4,0.0,0.21,1
1.52175,13.96,4.12,1.77,73.2,0.63,8.74,0.0,0.12,5
1.5174,13.43,4.32,1.62,72.48,0.5,10.48,0.0,0.15,2
1.51767,14.93,0.0,2.33,73.35,0.03,8.94,0.0,0.13,7
1.51681,12.82,2.95,1.75,71.91,0.54,8.05,0.0,0.12,2
1.51896,13.1,0.0,2.15,74.13,0.0,8.99,0.0,0.0,6
1.52044,14.03,2.64,1.94,72.55,0.26,9.24,1.64,0.05,7
1.51715,12.52,3.52,1.27,73.45,0.6,8.24,0.0,0.0,1
1.51758,12.79,3.68,1.38,72.93,0.65,8.29,0.0,0.28,1
1.51858,13.08,4.14,1.24,73.7,0.6,7.52,0.0,0.08,2
1.51827,13.48,3.47,1.33,72.77,0.54,8.26,0.0,0.09,1
1.51865,13.25,3.03,1.35,73.09,0.54,8.57,0.0,0.25,5
1.52191,14.38,0.55,1.96,72.38,0.13,9.04,1.58,0.3,7
1.51973,12.89,3.21,1.39,73.23,0.69,9.01,0.0,0.09,5
1.51756,13.35,3.49,1.05,72.43,0.58,8.33,0.0,0.2,1
1.51802,13.4,3.67,1.28,73.43,0.51,7.97,0.0,0.17,1
1.51803,12.55,3.09,1.6,72.62,0.66,8.6,0.0,0.25,2
1.51655,13.01,3.62,1.3,72.54,0.59,8.35,0.0,0.15,1
1.51727,12.96,3.61,1.33,72.63,0.58,8.42,0.0,0.19,1
1.5191,13.39,3.57,1.16,73.1,0.56,8.26,0.0,0.25,3
1.52275,14.1,2.01,1.92,72.68,0.22,9.12,1.08,0.35,7
1.5215,13.88,1.85,1.85,72.61,0.22,9.04,0.94,0.08,7
1.52058,12.49,2.85,1.59,74.08,0.72,9.0,0.0,0.24,2
1.51754,13.49,3.54,1.17,72.83,0.6,8.18,0.0,0.16,1
1.52132,12.88,3.63,1.33,73.07,0.67,8.4,0.0,0.24,3
1.52256,14.18,1.02,2.52,73.17,0.14,8.63,0.0,0.03,7
1.51898,13.0,3.51,1.3,72.34,0.49,8.18,0.0,0.17,1
1.51771,12.96,3.53,0.99,72.46,0.65,8.58,0.0,0.19,1
1.51812,13.18,3.66,1.43,72.57,0.46,8.46,0.0,0.14,3
1.51865,13.25,3.58,1.37,72.2,0.57,7.33,0.0,0.04,2
1.51839,13.06,3.6,1.33,72.72,0.65,8.31,0.0,0.09,3
1.51817,13.82,3.51,1.26,73.75,0.47,6.95,0.0,0.09,2
1.51833,13.6,4.03,1.67,73.02,0.58,8.69,0.0,0.06,2
1.51747,13.52,3.81,1.05,73.51,0.72,8.12,0.0,0.2,2
1.51846,13.37,3.99,1.56,72.91,0.59,7.35,0.0,0.17,2
1.52051,13.97,0.79,2.02,72.27,0.09,9.32,0.84,0.0,7
1.51737,13.8,2.43,1.61,73.38,0.41,8.33,0.0,0.0,2
1.51744,13.09,3.52,1.53,72.67,0.67,8.52,0.0,0.0,2
1.51975,14.31,0.52,1.37,73.05,0.03,9.37,1.89,0.0,7
1.51908,12.87,3.46,1.33,72.86,0.62,8.37,0.0,0.06,1
1.52251,13.81,1.0,2.62,71.65,0.09,9.54,0.67,0.25,7
1.51606,12.97,4.24,1.33,71.75,0.58,8.38,0.0,0.14,2
1.51759,13.62,3.68,1.48,72.98,0.64,9.06,0.0,0.17,2
1.51717,12.97,3.56,1.21,72.45,0.58,8.09,0.0,0.06,1
1.51716,12.99,2.98,1.19,72.05,0.53,8.55,0.0,0.32,2
1.51526,14.89,0.0,1.93,74.76,0.0,8.98,0.0,0.0,6
1.51713,13.21,3.99,1.16,72.72,0.54,9.46,0.0,0.09,2
